payment_id,customer_id,amount,bill_type,payment_date
5e7fad8b-e85d-4bc7-8e84-62b4f22f54c1,efee97b0-e201-4866-9c26-38920ce971e7,860.86,water,2024-07-16
5a44d05b-15ab-4c3a-9c63-4db7d3accf1b,92b3ce0d-3b73-4843-84f4-45f7f4962620,841.2,electricity,2024-07-16
a413422c-9ca6-4bc0-89e0-8dcbbb3ca563,7b071bca-cf11-46e1-a835-3f05295f22ee,266.76,water,2024-07-16
290df768-7f54-414a-af3f-48794569a847,1dd27780-f136-47f0-b4e8-8134339d9e99,406.2,electricity,2024-07-16
49b9c4fa-61cb-4d0a-8246-8d1b0e7dcc93,0501e969-b51e-4f25-bbd6-404b2886237d,162.65,electricity,2024-07-16
40d7632c-08e5-444f-b607-4b805538fd04,3603a3c0-8038-4d2e-bf84-4a41f1ed528a,864.33,electricity,2024-07-16
193e6a6b-a434-4c71-84c4-89fc77a93f8d,8a9cc9a9-2c48-4a83-ab53-9db9dc8d6269,316.84,water,2024-07-16
5c114e14-1a8f-4a28-a562-c536f40d9110,12f07770-4a35-446f-a128-0b1c7581bc54,739.91,water,2024-07-16
8e42696d-6789-4927-bc1c-4a7bad2fe45f,35dfb0aa-becd-4228-aed4-1c6d538c78e6,465.39,internet,2024-07-16
d4a6275a-aada-4a4f-8eea-3c2aa43841b5,6cceb4c6-33bb-4d66-ae51-9c373ddbfac2,924.87,phone,2024-07-16
b3c2ad97-251c-4544-897d-4083dc1ebc99,ddd56ee3-dade-4579-9e83-78ca8adcd836,671.26,water,2024-07-16
91683b90-ab2c-44d8-9aad-eabc3aa3fbaa,a935b924-66b4-48b7-a875-13be5bb783d7,286.01,water,2024-07-16
0ed6d700-f4ea-4844-ba88-eb9d4020aa1a,aa2f6186-95e7-41e7-9542-70facb804910,472.75,electricity,2024-07-16
679591b8-c266-41d9-9bba-e628f846afaa,bbe7f53d-127d-4dc9-a4b0-d0e14170315b,572.05,water,2024-07-16
db792378-6ab1-4fff-9527-bb8daf1ed091,c4674fde-825f-44a5-94b8-b846fe5e2039,628.32,phone,2024-07-16
a783544d-7dc9-49e5-a0be-228c5a7eb4b0,297a5a07-6ff0-40b4-b558-144b2f2168eb,767.39,internet,2024-07-16
6350fc7b-f2bf-4af5-8630-44e251279b4a,bc489d61-4b29-426f-aecd-c76a744db4ac,523.84,water,2024-07-16
1436f3bf-5c1c-4a4e-beae-7b3d86be36d7,1db26605-12d0-4dcf-b904-587e8039e019,206.06,water,2024-07-16
23fe5c33-a1c0-4597-abe7-6877668601b5,f45195f4-2e5f-4b40-8a84-56fbf1006c06,344.8,electricity,2024-07-16
82bd60c4-3276-47da-a4dd-e90f70adf925,d391fe8f-afec-4f9c-8006-99aa6c5b4345,761.9,electricity,2024-07-16
c735d3ad-2515-4fa6-a6fa-b77d800e4da8,8fbbd8fb-e677-4b5a-a025-1d1cf48c4f8f,733.17,internet,2024-07-16
b0f25326-a002-448c-9b60-8b049709f7dd,8a29c0bc-e948-44b4-b25a-8e0a73a6c0f7,159.32,internet,2024-07-16
