customer_id,credit_score,score_date
615fb8f8-d166-4f69-a380-a365cfe9e293,735,2024-07-16
562a4cb6-ae33-47e9-acb7-8595ab576ef8,432,2024-07-16
b507405b-df85-40c1-8445-fe7b82502bf1,347,2024-07-16
37e00d20-8664-47d6-96a3-30effc00117f,726,2024-07-16
69ba422d-e799-483b-8b33-65020139152d,655,2024-07-16
8466f015-ca8a-4045-bfb4-1c87430f9b61,764,2024-07-16
af028e6e-d0a2-47ef-a683-edfebef2e363,790,2024-07-16
35dfb0aa-becd-4228-aed4-1c6d538c78e6,490,2024-07-16
a74e15f9-f422-4350-aa98-c5fdf0ecc9af,509,2024-07-16
5753582b-0ee4-4a2a-98cf-5cf38ddbd2f2,610,2024-07-16
60946953-0b61-4a84-a9e6-2775435ea218,379,2024-07-16
a815621e-4e43-46ee-acce-d523210cfbde,686,2024-07-16
36c89d25-16c5-400d-8ee4-7157a8c5b22e,303,2024-07-16
343ceb13-9eaf-4c3f-8fcc-1a77443806b4,818,2024-07-16
cf0e2693-083c-40e7-91a4-1af58bc2f0b2,757,2024-07-16
37905015-7bed-4ff6-991a-3948d18821d2,631,2024-07-16
107967a2-d9cd-4be3-9d6a-a9d432309e24,485,2024-07-16
0b4566dc-3ad1-4e45-ba19-79a479aa13f6,754,2024-07-16
34118af8-8172-4497-b016-3a7580dfa2ae,337,2024-07-16
f8277cac-3929-4574-acca-4e2ee73d58f9,710,2024-07-16
ef8a31b7-fe13-4fe2-b56f-e8d8c99caac3,834,2024-07-16
a122c417-62ee-4603-9039-d13b02ec1012,850,2024-07-16
98fa6d92-c59a-4bcc-8490-6ac04def6f8a,481,2024-07-16
3eca34db-66d1-470d-8f36-b48f365db3d1,647,2024-07-16
7bdac5a5-31b9-4250-b057-95c39b8fc8e8,319,2024-07-16
2ef87ce5-d238-4704-85bc-acfd969fc02a,727,2024-07-16
a9bfa148-330e-4d60-82a4-7291703fd2aa,614,2024-07-16
1db26605-12d0-4dcf-b904-587e8039e019,581,2024-07-16
4df5689e-1a56-4657-af00-320650ea781e,354,2024-07-16
67d4f921-263d-4402-b464-b35995084977,562,2024-07-16
d109e264-0e69-4836-9bc4-30bb008d4f90,756,2024-07-16
5aa06a91-df00-4eae-9dea-3bd83fec14b6,560,2024-07-16
b83243ff-7ce1-4ba3-a7c5-e67e08ea307b,570,2024-07-16
7af68ebc-24c1-479d-b310-b72c99e1b45f,817,2024-07-16
17bf7b78-5387-45b6-9a4c-a7ea90a755db,634,2024-07-16
979354d3-fe9a-40e2-bf00-a59d5c1e9ded,817,2024-07-16
db5a46c4-f791-4075-a3e4-25949cf9682b,746,2024-07-16
78c367ae-f713-4e31-b4c5-7b14f960e627,655,2024-07-16
02775286-eca4-45c3-8e2c-be3a8f743df3,576,2024-07-16
562a4cb6-ae33-47e9-acb7-8595ab576ef8,536,2024-07-16
6923a82f-88a7-40ec-840c-6a9e379eda6e,546,2024-07-16
7d87cc42-4519-4966-89d4-1331b9f4d282,524,2024-07-16
a896a222-0106-4aa2-ab46-59e636ca1a38,614,2024-07-16
1a6cd886-fe6b-4a75-8e66-1fd226d9c3fd,593,2024-07-16
57576797-adb7-4cb4-99ae-6fb391529b9e,577,2024-07-16
4621d3d0-6bfa-4b1e-9e7e-f4cada5a663e,791,2024-07-16
47c9b4b0-d989-45a2-96a1-66f13e2bd172,318,2024-07-16
eae6a0f9-74ba-45df-be94-a157650895d2,407,2024-07-16
1e66a300-a938-4419-97a6-d73c68c22dae,819,2024-07-16
0c52a8d3-a3e5-4fd3-8e1e-e2f59ed7d674,627,2024-07-16
54b64239-64ee-42e9-b99d-886af13928ac,500,2024-07-16
a89e86c1-55e2-4e23-bda4-0975d2cd667d,730,2024-07-16
6b91a336-ae42-45a8-b523-a6e8697ba88c,591,2024-07-16
6594096b-c286-451f-9ac3-b570cb5f90f8,807,2024-07-16
160b7408-2af8-49fc-8e8b-e91d12c91206,588,2024-07-16
db5a46c4-f791-4075-a3e4-25949cf9682b,823,2024-07-16
d0eea20a-c72f-45fb-b8dd-07e107f7767e,322,2024-07-16
8f44e33b-2ddc-4d8a-9273-c92aed34b0b8,814,2024-07-16
af028e6e-d0a2-47ef-a683-edfebef2e363,496,2024-07-16
1110fffa-fd44-4a43-842b-9ccd23a2792c,555,2024-07-16
ece8affb-0ded-4de5-bc3e-6045bb01ccfc,453,2024-07-16
d073be7e-bc04-4129-9b8e-c97a1918bb7d,746,2024-07-16
c4a83b77-0746-410d-8a0c-4758be0b26a1,789,2024-07-16
7bf476a2-eaaf-4cf8-b9da-1b9d9b626e41,612,2024-07-16
35dfb0aa-becd-4228-aed4-1c6d538c78e6,816,2024-07-16
d869c4fb-0d41-456b-a02b-6c71ce14eac5,514,2024-07-16
8874b5a5-c020-4fbf-b07b-d7cfb2330846,506,2024-07-16
4f397868-d0aa-4792-ad26-26c0fc98d652,487,2024-07-16
070fc50a-1258-4f02-a103-ff081b0e68e9,329,2024-07-16
e91bb55a-2252-4605-b63b-743cebf172d1,495,2024-07-16
9015642d-4ac3-408f-85c5-a6c0c5d10f17,349,2024-07-16
7c8311d2-dc1c-4315-ad9e-82f4d778773a,800,2024-07-16
aa21a673-05a9-48df-a138-de9b09f3fb5c,450,2024-07-16
bc22af0f-9e62-4a6d-9db3-a08d99b5c297,498,2024-07-16
ad7dfdfd-9031-45b5-8b9f-5ed7bc534bb7,672,2024-07-16
0e7682a4-7c63-4f69-a629-26cef83bc2c0,357,2024-07-16
c1362c82-9829-460c-a54b-cca6ed92315f,597,2024-07-16
7b562b34-5620-4fa2-a3b9-9db3894962d7,664,2024-07-16
a061f517-ecd6-4393-9ab3-a82408469e5f,802,2024-07-16
3afb3d39-a403-4a75-9db9-99a05ac49e47,333,2024-07-16
2de7c381-4fcc-405a-bd27-b488af9a3d4f,713,2024-07-16
decb8f00-c2b1-4084-9d4d-fb9c626d5448,720,2024-07-16
4098d056-20c6-4f54-8afe-517f6872430f,537,2024-07-16
3817a01f-25e3-49cb-b013-ae2cc80322d9,455,2024-07-16
0e50452d-ed90-44b8-ac5c-2a62baa16a03,625,2024-07-16
7ea80a07-05df-4f74-bfd2-47f5044ead34,357,2024-07-16
0d5fefcd-1e3d-41fd-b92f-de7ab0f69405,309,2024-07-16
e8140bbd-1ebb-4ef8-98a2-9901fb61b2a6,577,2024-07-16
b4098025-0be7-43f2-8ef5-5251b87842f8,823,2024-07-16
c5afa675-cf3a-46c2-a2f9-ec7cd6848280,581,2024-07-16
7f6efcb0-7665-4370-bb7a-105b3b4214ac,820,2024-07-16
f29dd7f8-c2d5-46dc-a601-1ebb08431ca9,466,2024-07-16
630ed070-10d0-4a58-a1f9-1baa7ee33a18,793,2024-07-16
29f239ea-e87b-4f83-90a0-e5184469a4e1,559,2024-07-16
fae210a9-9b61-49f7-9df7-23ef5df9bfc0,546,2024-07-16
b89b7bc9-f7f9-48a5-bca2-4cae4580d44d,478,2024-07-16
3eca34db-66d1-470d-8f36-b48f365db3d1,702,2024-07-16
2e4e58c6-55e1-4e9c-bf93-a9fb7ac1cd35,796,2024-07-16
842e877f-8ebc-49ce-9c80-eb3590f0ce97,533,2024-07-16
ae7757be-46bb-449d-8542-800abbb0b15f,735,2024-07-16
aab7fda4-a7da-4e1d-9820-8bf5d472b0bc,383,2024-07-16
82739590-f028-42c1-a7bb-e0e53a8f177a,669,2024-07-16
bceb5f1b-c50b-41b2-a9d2-d4d56d8d889d,536,2024-07-16
d65c71fb-b188-4a9a-84aa-d7b439a7856b,682,2024-07-16
d5c463c7-8aa3-4b38-b59e-3285a2d70b77,317,2024-07-16
67737e24-6f93-472d-b194-bd030c634020,369,2024-07-16
5891ab97-f7ee-42e4-a111-a8523d671574,486,2024-07-16
7a277a51-fa96-4de5-aa41-75dc276ed854,833,2024-07-16
9b7dc403-9f6b-4c39-9f33-ac7393c50cfc,646,2024-07-16
30e78793-37e2-4ed7-8f63-9197c604a549,561,2024-07-16
26779dad-ef1e-4848-9af4-32b25b8b09bd,845,2024-07-16
92b3ce0d-3b73-4843-84f4-45f7f4962620,310,2024-07-16
1f4d6dba-bdde-474a-8c65-d8abe35b755a,466,2024-07-16
67737e24-6f93-472d-b194-bd030c634020,340,2024-07-16
d422eeb2-0bfb-45bc-8df8-d6ee71f96a75,628,2024-07-16
79103153-a3ab-4d54-aced-d530850c6b34,750,2024-07-16
c0c2b606-ef26-4585-b706-60e3138a59b2,738,2024-07-16
76d1555a-04d5-491a-9404-de3bf0b122dd,385,2024-07-16
18b5901d-52de-4de3-bdc4-a8e7946d7ba6,679,2024-07-16
d0706e9f-7394-49ae-b0b0-cf8ded081192,726,2024-07-16
3afb3d39-a403-4a75-9db9-99a05ac49e47,330,2024-07-16
38b4ed1c-9154-4852-9243-1e2a24d58db3,374,2024-07-16
d6a03540-1562-46c9-8259-8c95cae3a824,434,2024-07-16
2b18a986-51a0-49ea-a3ae-777cf38e2be7,431,2024-07-16
1e9cfc89-b6cb-48cb-8bb3-24dbf7881912,738,2024-07-16
eca337dd-4e5d-4230-bdbf-531c8b5eb1bc,347,2024-07-16
05da9a7e-a83c-46be-9437-602a4eab2ec7,396,2024-07-16
93450048-d68f-423f-a153-9fe6bdd8f224,631,2024-07-16
5f9a505c-e8e7-42cc-ba5f-739bbf6abc29,818,2024-07-16
771da71e-a416-4dff-aed6-913b8be4dde0,599,2024-07-16
f2eeb424-3764-4b6a-abbf-1c98e98134a6,573,2024-07-16
28da4555-aa21-48e4-a1de-e6a39daa79c7,540,2024-07-16
9139a14b-c936-45ea-b1f6-552e2acd0ffc,736,2024-07-16
