atm_id,branch_id,location,status,installation_date
70d8a24b-e26b-43c4-afd9-fa1185b9039d,dab54483-7041-4d76-ac95-934241f3d49f,"65982 Patrick Walks Suite 305
Brandonville, UT 76225",out of service,2024-07-09
ecd333d1-1275-4d07-bed4-0d01831cc49a,3bc98799-8c5e-4d58-b365-9c4349588f9a,"5942 Shannon Pike Suite 574
Ortizborough, WV 61939",out of service,2024-07-09
72930b74-648c-4b1a-a0ef-08daeed4c6c3,9ebdc262-e6f9-483c-84c2-aad056841bdb,"USCGC Thompson
FPO AA 54884",active,2024-07-09
28fe546a-a180-4a6f-a7e7-e81fb2b4ff2e,3af87a68-79d6-4968-99ef-4262410d6a53,"315 Beasley Forest
Cantuchester, MS 85592",maintenance,2024-07-09
10b90b5d-7c16-4925-a162-54141169d457,912c01e9-7ea6-4a8d-ab01-512f22140727,"635 Lawrence Hills Suite 187
Paulaland, NY 78208",active,2024-07-09
a8b64471-e0a4-4527-ac39-213e4634a823,2c57c68e-40fb-48ae-90dd-710e1e7917ed,"3351 Madden Islands
Hillmouth, NE 28903",maintenance,2024-07-09
e5e2e04f-b3f8-4fa8-8989-99813d627a25,4c323c9d-1185-4943-ba98-c2d9f3e264eb,"0188 Delgado Canyon
Rodgershaven, NM 76788",out of service,2024-07-09
36f3b6e7-1b89-49d3-99bb-e8ec56191587,ca53c679-a2b3-49fd-b997-02286e611beb,"0533 James Street
West Shelley, AZ 05103",out of service,2024-07-09
cae95c0b-cd90-4dcc-b1cb-a44edaf04e8c,c3caeb58-3b55-481b-bb2d-9acb8a785dbe,"8472 Kathleen Route Suite 095
Michelletown, ND 88187",out of service,2024-07-09
b0f85f5a-8b20-4fe2-b343-bf464c0db1b9,e424dbea-c7a3-4986-a20b-729cc44bf6da,"351 Mcguire Burgs
Lake Christinachester, NE 17780",active,2024-07-09
097043a0-cbae-44ec-81b0-8febd8f15d51,ca53c679-a2b3-49fd-b997-02286e611beb,"0414 Holt Flat Suite 950
Lopezchester, AK 51273",active,2024-07-09
76426bc7-80e4-45d5-a478-295628344348,e424dbea-c7a3-4986-a20b-729cc44bf6da,"3933 Bates Summit Apt. 939
North Barbaratown, CA 68786",maintenance,2024-07-09
d4d29ae7-a917-41ce-90c6-29bd0022f148,808822a0-b84c-48fc-acff-7c8b151961d9,"57697 Wade Summit Apt. 225
West Meganbury, DE 15791",out of service,2024-07-09
05c9c370-8a59-4708-942b-af78c965412b,9ebdc262-e6f9-483c-84c2-aad056841bdb,"6802 Webster Circle
Port Baileyfort, LA 17214",out of service,2024-07-09
30e38872-5b9c-46ac-a1f3-2a536241ccb2,6bd99cd9-181c-4009-9d1d-fc960ebe3446,"34938 Nelson Passage
New Monica, OR 28110",active,2024-07-09
5bd800e4-e5e7-41f8-8e39-ce104efbc608,381769b6-baa8-426a-9845-2e8a04209f13,"882 Nguyen Plain
Ashleyland, WV 07838",out of service,2024-07-09
