account_id,customer_id,branch_id,account_type,balance,open_date
e61fba27-8239-4fd1-bbeb-4501b1219174,ae2ff66b-68e7-466c-97e8-5dfb51122932,178a985e-9b1c-44da-bb53-b34aaa12c139,savings,45688.95,2024-07-09
6064caad-f664-4343-8548-ec14d92f21db,09df5756-c883-439d-aed0-af089b48a860,6a65ccf0-3730-4ac4-9760-69de2b9db572,current,47847.25,2024-07-09
bfa9352e-f13b-428c-9c85-26a7cf1bd2c2,cea52a86-4b60-4ec8-93ff-2b28355634f7,fad48379-632e-43f4-af8e-84ad97af119b,savings,34844.2,2024-07-09
3e3297ad-da0f-4e7a-b26c-2c37842d53c0,555eb141-74b2-46ca-aced-906a82aa79e7,0995c31f-8b38-40af-a481-8823b257757d,savings,93143.44,2024-07-09
5da2107f-1c7e-40e8-817e-9447d4677441,b06a8ddf-80c3-4cdf-b93a-eaa3713dce1f,afcda216-c6d7-4967-b0fe-47e2997a502d,current,39361.11,2024-07-09
538f1f62-4c89-4a01-b909-fdb9e322323c,f678a0d1-a9f4-420c-b731-c9b2b8ac9967,fa39e8db-0e5a-4555-b921-5411bed89788,current,92531.37,2024-07-09
d787c5f8-abf0-4604-a650-11151fd39f1c,24587a05-05c1-401a-bcbd-fe0437873af1,6c70bdae-6409-4d6f-9428-be0cfce8d84c,current,70771.61,2024-07-09
0739c291-69c4-431e-b75d-250c0e315949,e99f3b91-55a0-4b8e-96b4-0cd700ee0a9a,33585fbf-49fa-49fa-8655-74787f9f0e41,current,33303.08,2024-07-09
eab0e2dc-e426-404f-afc0-a471b1ce5d3b,ab080215-91b9-4f05-a238-7f1945c18daa,aac1e9cc-04c7-4dc8-b1a0-22918903f772,current,33642.44,2024-07-09
df582a0b-93d9-4c09-a5fe-a6f0058113a2,88a2d54c-eeed-41b6-86b9-973615fd3415,34b283dc-26ab-4ff0-af5a-782c0512013a,savings,79286.1,2024-07-09
dbf6726b-137d-4110-bc66-036d72679fd5,08398c7a-b0e1-43a7-b36c-14cf7384533c,b63c031e-8469-4eb2-914f-a67f5314033e,current,98301.67,2024-07-09
167b0257-2e38-4fde-91fe-e6e91975ab47,9bb21599-b2c0-42d4-ada6-d952a06735d1,68a5c44c-1283-4c93-94b1-f14092334293,savings,88538.72,2024-07-09
