payment_id,customer_id,amount,bill_type,payment_date
36def1b2-43f8-4d2a-bc86-b12cee86fc7c,74f74158-424e-4d37-bdfe-1402731e73ae,222.1,water,2024-07-14
1e5465ee-a932-4d32-b7be-619ef262ff9e,04198c08-fee0-4317-a041-459df8951e8b,332.19,electricity,2024-07-14
042e0212-8fd0-4d59-94d1-e1df4962cd8b,0f09e03b-60a5-4017-bc3f-465139d8a2f0,402.91,water,2024-07-14
6c3d7d35-818c-46a7-868a-ac74a72a4483,20759cfa-6d46-4b80-b780-7a3ba0735b22,818.13,phone,2024-07-14
aa97c261-b4e9-4545-aad1-51d5d01983de,a8eb15a6-aade-4b5e-b3d3-deb8e6ec4b72,218.78,internet,2024-07-14
2d479f7d-5355-4dec-9a2a-20eb7487a4dd,4cf80b0f-72ed-4809-9017-ec06ec54c7c2,641.05,internet,2024-07-14
7a387772-17a8-4033-9816-02f268842a02,a3a10a62-c873-4b1a-b59c-2d05928113d6,947.17,water,2024-07-14
ede19be4-c4ad-4ac1-8623-360b58d554fb,10e0d7d4-d6e9-4fda-ab7a-eae20f859d77,696.66,internet,2024-07-14
dc06ca08-9e75-4d86-acd4-bae1b94507c9,fc4a7636-0150-43cc-af40-835021a2f123,177.77,internet,2024-07-14
49c8a47f-34b2-4264-b333-42750f73cd86,c530cda8-55e2-4cc4-b34e-12d29b408215,135.69,phone,2024-07-14
4c5dd68e-c6ea-4d3a-8ad8-88b577154f5e,e27cc40b-9eea-45df-b636-f3e4ec93fc9d,822.93,phone,2024-07-14
13ac423d-b74c-4514-838b-3bcf0c00bd68,e08c5e42-856e-47fa-89f4-fa484a68bfcb,948.0,electricity,2024-07-14
a473bae6-7b0b-4f74-8e9c-00197677fee6,9f67af3d-3a7b-465a-b9a8-deddf7009ffe,235.39,internet,2024-07-14
80869163-fd78-43d8-8163-525f2e27ec93,719127e2-1744-4ca6-98f2-e855dd01da60,234.71,water,2024-07-14
27a76d85-94ac-462b-8d0e-994239358d35,d918f27d-f037-444f-bba4-4082a74fbc45,320.83,phone,2024-07-14
7b2f7e36-ac8f-463d-82b2-3cfeb24e2a75,7cfed409-cdaf-45d5-88be-b4655d09eff4,268.57,phone,2024-07-14
a99ed50d-1f29-4a08-8bfe-f1f15d5b40c0,f99f5707-81f2-46c8-98ab-ee23040eecad,875.0,water,2024-07-14
6148b959-0bcb-4e4e-bae2-6aa5e4cdc7bb,f940dbab-780c-45ac-a004-b5b1ff6ce7fe,989.21,electricity,2024-07-14
5a75deed-fabf-4dfb-b6b4-90506c4a4fa1,ae572ac9-244f-4ac7-aa95-c2f3c1f46f6f,600.06,phone,2024-07-14
