transaction_id,timestamp,customer_id,amount,transaction_type,category,description
55d33201-96ef-4f7d-9651-dee22a8c62d3,2024-04-14 16:56:57.558026,8468,-403.73,credit,healthcare,Budget moment cold better.
2058cd87-3008-4cda-a911-57ec87a493d6,2024-02-27 19:54:02.880957,3858,-357.0,credit,entertainment,Simple fly run effect.
4e188f13-ce8f-4e8d-b734-e56c44bd25fe,2024-01-22 21:42:14.419146,1632,-217.85,credit,healthcare,Board sing reduce word.
24350bcb-6cf3-4ce2-a426-6f961677ded5,2024-03-19 21:39:28.917860,2960,191.36,debit,rent,None central decision production.
7405d64c-7d8b-4590-8b4d-7e0974ac9426,2024-02-27 19:32:56.326730,7824,170.61,debit,salary,Risk relate prepare.
dc3c3519-813b-4bf3-8d3a-f887b3a56dc1,2024-04-16 07:27:43.567170,1919,-162.94,credit,travel,Early represent ready ten laugh.
2b84ab14-fec8-4130-9962-c55c4084c321,2024-02-12 19:21:28.198623,8172,-220.95,credit,travel,Big everything discuss house.
92f78396-b019-470f-a6a5-35fd5132f105,2024-02-12 18:57:09.246244,9645,385.29,debit,salary,Wide notice training available exist out.
12def2ce-d82c-44e2-b1f2-7fce8d168939,2024-01-17 14:37:05.842633,1455,-169.33,credit,rent,Write sister the so no morning.
81447f78-d3f6-45f1-a0a1-b3e133dd7bba,2024-02-24 11:46:21.398281,6743,-432.24,credit,healthcare,Agent election majority goal see drive.
e8d64954-b1e0-467a-891a-1ab9f872a927,2024-05-08 15:25:36.317205,4235,89.6,credit,rent,Need focus cover spend person large.
45f9fb7f-8cdf-4790-89bc-a33bd80fafbe,2024-06-20 04:51:07.651574,2522,-157.99,debit,utilities,Left understand training recognize.
fad2bb6b-5000-4d3f-8456-2f0885698bea,2024-02-16 23:50:03.344828,5537,-318.63,debit,entertainment,School party light and claim.
558831a7-5850-481c-b447-6c4f1c93a377,2024-02-01 23:07:10.302689,4878,403.64,credit,utilities,Serious garden leader those as.
1da56eed-8bff-4cd0-9c34-f1373c63dba6,2024-03-07 15:28:16.979404,5342,-416.8,credit,rent,Production people collection environment.
65c75cd0-b88d-499b-b41c-599ad18a509e,2024-02-06 06:12:34.822603,7779,52.68,debit,groceries,Can not left bag.
1a0786fe-17ed-4577-bb5d-752bd64e58b0,2024-04-16 01:58:22.507207,5117,-131.99,debit,salary,Help bar once others actually.
debb4b04-af76-42de-a9c6-321ced4ed91c,2024-05-20 20:00:21.213163,2357,360.71,credit,groceries,Loss successful crime dark ahead involve.
00d1e041-33f9-482a-9a50-4338537cd5f9,2024-04-14 06:42:03.919202,3815,245.51,credit,utilities,Across big respond series right seek.
fccd59cb-f846-4eab-82ca-ffcffad55b31,2024-01-17 02:08:25.676747,5375,-435.27,debit,rent,Task sister art state create.
