cheque_id,account_id,amount,date_issued,date_cleared,status
a3288418-fd6c-4b31-b3a0-882d7fb4db29,65b3a981-0a8a-4282-8b22-b24f376f3293,511.95,2024-07-14,2024-07-18,bounced
7082d08f-f069-422d-bb9d-5653d62e3fc1,5f4df774-a9ec-4c12-ae76-83b12aefd004,3312.19,2024-07-14,2024-07-14,cleared
f68c4512-2091-44e4-9271-0795f0e55b65,9e12d5ee-d034-4e6d-b032-b36dcf4e43f5,2634.98,2024-07-14,2024-07-16,bounced
cbdf03ac-2258-4eb6-922c-118d1da58376,ce956499-5f73-4076-962f-705badf0aab8,8159.88,2024-07-14,2024-07-18,pending
c5174170-a9a5-403a-84c3-541f4c9fc891,2370ab72-c770-46cb-b03c-155856bf3b1c,7173.04,2024-07-14,2024-07-17,bounced
e659efd5-18da-49a2-9408-a89c660cb7f1,4ce54568-dde9-43f7-b04b-abf6ea7b00c5,959.02,2024-07-14,2024-07-14,bounced
19ebd574-78b8-450c-a813-586c32113b5d,e42109e6-194b-403f-a196-8e6be682cda0,644.19,2024-07-14,2024-07-20,cleared
f570296e-b6ff-4456-9fcb-bd12375fefd4,e1690eb0-f1ed-47c9-9d23-4bb5451d3310,9715.17,2024-07-14,2024-07-17,cleared
b601e777-3d66-4d0a-9c91-275a36d0a395,ea9fcc5c-0fb5-4a30-a4da-7b8d6ac2b9bc,5824.72,2024-07-14,2024-07-15,pending
d4981854-1236-4e35-b573-ec2aa51e958b,9f8293ec-5e33-4348-b3b9-61503b548910,3633.18,2024-07-14,2024-07-15,bounced
0e90ebba-f774-4dcf-9c1d-f6e2c7ee51d1,0d732ec5-8176-43e3-aae6-3fb9d24724b1,5704.7,2024-07-14,2024-07-15,bounced
5e22c29d-7e46-401c-9e78-0baf93a56a21,6b1a9469-e2ac-4be7-a1ae-8b80f0d10ada,7072.4,2024-07-14,2024-07-16,bounced
1c9452e5-fbe4-4c4e-a945-a27c4ff4db20,2d428ab0-53eb-4604-aa54-99af61055b13,6357.8,2024-07-14,2024-07-17,bounced
0ab86f04-7059-4081-b2ab-2676124882de,fd5c51b2-cbe6-44c8-b2ad-2c453803a4b0,1562.67,2024-07-14,2024-07-15,pending
65594384-dc93-4c58-8658-72a7782ee868,5dd6bd79-15f5-4ad2-8daa-ec8650953a7e,4378.43,2024-07-14,2024-07-16,bounced
29858827-49f2-492a-8421-7a68411ae41c,2eac0e87-0b53-4500-a865-cdd9c9463030,3844.35,2024-07-14,2024-07-15,pending
b9ff47bc-ffee-4a68-aa0e-f2cc33b91f6e,fde5beb8-4636-47d4-a45d-140d6f6ca44e,2474.84,2024-07-14,2024-07-18,cleared
ac09583c-2ff2-4a62-aea5-c7f0e9b667b0,856c02f9-9510-4f3c-98d3-8ad5ff9484e6,9951.96,2024-07-14,2024-07-17,bounced
f510b3d7-21ef-46a9-9cef-cd178d9915d6,19563fd1-ae61-4292-ad18-d56737ea2109,9590.77,2024-07-14,2024-07-19,bounced
1632270b-1543-4fcc-a06d-60977d97f5b8,d23b33ac-8b7f-4b2d-bb15-455efb1e83f0,4510.13,2024-07-14,2024-07-14,pending
e639cbda-852d-4164-ae0e-0eb98e425682,bc6be580-c03f-4e1d-af67-3bd5ae939596,5899.26,2024-07-14,2024-07-19,cleared
e58461cb-70e6-4810-91f5-b0df0c72f55e,5f5016eb-4f8a-40b4-ae09-df2520aa5d7c,3805.59,2024-07-14,2024-07-18,bounced
5534f8e6-8137-4381-8fd5-78975648bcd0,fde3ee23-8804-4178-ade5-512158c6eb34,5415.01,2024-07-14,2024-07-19,pending
bae657c6-e0bf-4b4b-9814-bee852b55bc8,3b5dd646-396a-46fc-afb7-53025611bf10,1084.43,2024-07-14,2024-07-18,cleared
